ID,Program,Nationality,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Belbin,Gender
357,B-AT,Yemeni,Topicus,Inter-actief,Entweder,Notebridge,Voice,COM,Male
360,B-TCS,Portuguese,Voice,Topicus,Earnit,Notebridge,Honours Programme,TEA,Male
7,B-TCS,Dutch,actFact,Voice,Shotmaniacs,Topicus,Honours Programme,IMP,Male
90,X-TCS,Turkish,Shotmaniacs,Topicus,eMagiz,Voice,Notebridge,IMP,Male
65,B-BIT,Polish,Earnit,Notebridge,Topicus,Voice,Shotmaniacs,SHA,Male
292,B-BIT,Lithuanian,Topicus,Shotmaniacs,Earnit,Voice,Rosen,PLA,Male
88,B-BIT,Romanian,Shotmaniacs,Topicus,eMagiz,Voice,Notebridge,COO,Female
27,B-BIT,Norwegian,Voice,Shotmaniacs,Honours Programme,Topicus,actFact,RES,Male
159,B-TCS,Dutch,Inter-actief,Honours Programme,Topicus,Shotmaniacs,Entweder,PLA,Male
272,B-TCS,Lithuanian,Earnit,Voice,Notebridge,Topicus,eMagiz,SHA,Female
21,B-TCS,Dutch,Shotmaniacs,Honours Programme,actFact,Notebridge,Entweder,SPE,Female
112,B-TCS,Egyptian,Honours Programme,Earnit,Voice,Notebridge,Shotmaniacs,TEA,Male
284,B-TCS,Dutch,Shotmaniacs,Earnit,Topicus,Notebridge,Inter-actief,SHA,Male
403,B-TCS,Romanian,Shotmaniacs,Voice,Topicus,Earnit,eMagiz,IMP,Male
121,B-TCS,Turkish,Shotmaniacs,Honours Programme,Earnit,Inter-actief,Topicus,COO,Female
258,B-TCS,Greek,Shotmaniacs,Notebridge,Earnit,Voice,Inter-actief,IMP,Male
388,B-TCS,Romanian,Shotmaniacs,Voice,Topicus,Earnit,eMagiz,SPE,Male
16,B-BIT,Egyptian,Voice,actFact,Honours Programme,Earnit,Inter-actief,TEA,Female
266,B-TCS,Romanian,Voice,Notebridge,Honours Programme,Shotmaniacs,actFact,RES,Female
11,B-TCS,Romanian,actFact,Voice,Shotmaniacs,Topicus,Honours Programme,MON,Male
387,B-BIT,Dutch,Voice,Earnit,Topicus,Honours Programme,actFact,MON,Male
158,X-TCS,Romanian,eMagiz,Inter-actief,Shotmaniacs,Entweder,actFact,TEA,Female
46,B-TCS,Dutch,Earnit,Shotmaniacs,Voice,actFact,Entweder,SPE,Male
117,B-BIT,Russian,Honours Programme,eMagiz,Topicus,Voice,actFact,MON,Female
391,B-TCS,French,Voice,Earnit,Topicus,Honours Programme,actFact,COO,Male
341,B-BIT,Dutch,Shotmaniacs,Topicus,Earnit,Honours Programme,Inter-actief,PLA,Male
50,B-TCS,Dutch,Earnit,Shotmaniacs,Voice,actFact,Entweder,COM,Male
240,B-TCS,Romanian,Notebridge,Earnit,Shotmaniacs,Entweder,Honours Programme,SPE,Male
17,B-TCS,Romanian,Voice,actFact,Honours Programme,Earnit,Inter-actief,TEA,Male
310,B-TCS,French,Shotmaniacs,Honours Programme,Inter-actief,Earnit,eMagiz,IMP,Female
367,B-TCS,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,Inter-actief,SPE,Male
89,B-BIT,Ukrainian,Shotmaniacs,Topicus,eMagiz,Voice,Notebridge,IMP,Male
166,B-TCS,Lithuanian,Inter-actief,Voice,Earnit,Honours Programme,Topicus,IMP,Male
261,B-BIT,Dutch,Shotmaniacs,Notebridge,Earnit,Voice,Inter-actief,SHA,Male
148,X-TCS,Finnish,Voice,Shotmaniacs,Inter-actief,Earnit,actFact,COO,Male
171,B-TCS,Spanish,Earnit,Topicus,Honours Programme,Entweder,Voice,COO,Male
389,B-TCS,Russian,Voice,Earnit,Topicus,Honours Programme,actFact,IMP,Male
105,B-BIT,Romanian,Honours Programme,Topicus,Voice,eMagiz,Shotmaniacs,TEA,Female
20,B-TCS,Dutch,Shotmaniacs,Honours Programme,actFact,Notebridge,Entweder,IMP,Male
309,B-TCS,Dutch,actFact,Shotmaniacs,eMagiz,Notebridge,Entweder,TEA,Male
336,B-TCS,Bulgarian,Topicus,Honours Programme,Shotmaniacs,Voice,Earnit,COO,Male
124,B-TCS,Romanian,Shotmaniacs,Honours Programme,Earnit,Inter-actief,Topicus,COM,Female
152,B-TCS,Dutch,Voice,Inter-actief,Earnit,Honours Programme,Topicus,SHA,Male
123,B-BIT,Dutch,Shotmaniacs,Honours Programme,Earnit,Inter-actief,Topicus,TEA,Male
286,B-BIT,Kyrgyz,Shotmaniacs,Earnit,Topicus,Notebridge,Inter-actief,IMP,Male
74,B-TCS,Vietnamese,Earnit,eMagiz,Topicus,actFact,Entweder,SPE,Male
378,B-BIT,Romanian,Voice,Notebridge,Earnit,Shotmaniacs,Topicus,SPE,Male
330,B-TCS,Bulgarian,Topicus,Honours Programme,Earnit,Inter-actief,Shotmaniacs,COM,Male
51,B-BIT,Dutch,Earnit,Shotmaniacs,Voice,actFact,Entweder,COO,Male
281,B-BIT,Greek,Shotmaniacs,Notebridge,Voice,Rosen,Inter-actief,RES,Male
243,B-TCS,Dutch,Notebridge,Earnit,Shotmaniacs,Entweder,Honours Programme,IMP,Male
76,X-TCS,Spanish,Earnit,Topicus,Voice,eMagiz,actFact,IMP,Male
394,B-TCS,Latvian,Shotmaniacs,Voice,Topicus,Honours Programme,eMagiz,COM,Male
338,B-BIT,Iranian,Topicus,Honours Programme,Shotmaniacs,Voice,Earnit,SPE,Male
293,B-TCS,Dutch,Topicus,Shotmaniacs,Earnit,Voice,Rosen,COM,Male
35,B-TCS,Dutch,actFact,Topicus,Voice,Earnit,Entweder,SPE,Male
383,B-TCS,Latvian,Voice,Shotmaniacs,Honours Programme,Earnit,Notebridge,SPE,Male
106,B-TCS,Kazakh,Honours Programme,Topicus,Voice,eMagiz,Shotmaniacs,SPE,Male
324,B-TCS,Romanian,Shotmaniacs,Topicus,Honours Programme,actFact,Voice,IMP,Male
153,B-TCS,Japanese,Voice,Inter-actief,Earnit,Honours Programme,Topicus,IMP,Male
363,B-BIT,Russian,Voice,Topicus,Earnit,Notebridge,Honours Programme,COO,Male
143,B-TCS,Dutch,Inter-actief,Shotmaniacs,Topicus,Honours Programme,Voice,COO,Male
302,B-TCS,Romanian,Shotmaniacs,Voice,Entweder,Rosen,actFact,SPE,Female
140,B-TCS,Italian,Inter-actief,Shotmaniacs,Topicus,Honours Programme,Voice,TEA,Female
294,B-BIT,Lithuanian,Topicus,Shotmaniacs,Earnit,Voice,Rosen,IMP,Male
141,B-BIT,Finnish,Inter-actief,Shotmaniacs,Topicus,Honours Programme,Voice,IMP,Female
396,B-TCS,Greek,Shotmaniacs,Voice,Topicus,Honours Programme,eMagiz,COO,Male
91,B-TCS,Ukrainian,Shotmaniacs,Topicus,eMagiz,Voice,Notebridge,IMP,Male
145,B-BIT,Indonesian,Voice,Shotmaniacs,Inter-actief,Earnit,actFact,SPE,Male
3,B-BIT,Dutch,actFact,Shotmaniacs,Honours Programme,Voice,Topicus,MON,Male
136,B-BIT,Dutch,Honours Programme,Topicus,Earnit,Rosen,Notebridge,SHA,Male
104,B-TCS,Uzbek,Honours Programme,Topicus,Voice,eMagiz,Shotmaniacs,SHA,Male
144,B-BIT,Indonesian,Voice,Shotmaniacs,Inter-actief,Earnit,actFact,IMP,Male
246,B-TCS,Romanian,Notebridge,Voice,Topicus,Earnit,Shotmaniacs,SPE,Male
265,B-TCS,Dutch,Voice,Notebridge,Honours Programme,Shotmaniacs,actFact,RES,Male
127,B-TCS,Romanian,Shotmaniacs,Earnit,Honours Programme,Topicus,Rosen,RES,Male
150,B-TCS,Polish,Voice,Inter-actief,Earnit,Honours Programme,Topicus,SPE,Male
247,B-TCS,Dutch,Notebridge,Voice,Topicus,Earnit,Shotmaniacs,IMP,Male
298,B-BIT,Romanian,Shotmaniacs,Voice,Entweder,Rosen,actFact,SHA,Male
344,B-TCS,Dutch,Shotmaniacs,Topicus,Earnit,Honours Programme,Inter-actief,SPE,Male
96,B-BIT,Dutch,Voice,eMagiz,Notebridge,Entweder,Earnit,COO,Male
161,B-TCS,Dutch,Inter-actief,Honours Programme,Topicus,Shotmaniacs,Entweder,COO,Male
33,B-TCS,Dutch,actFact,Topicus,Voice,Earnit,Entweder,SPE,Male
345,B-TCS,Dutch,Shotmaniacs,Topicus,Earnit,Honours Programme,Inter-actief,SPE,Male
321,B-BIT,Estonian,Shotmaniacs,Honours Programme,Topicus,Voice,Inter-actief,COM,Male
369,B-BIT,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,Inter-actief,IMP,Male
248,B-TCS,Dutch,Notebridge,Voice,Topicus,Earnit,Shotmaniacs,SPE,Male
393,B-BIT,Bulgarian,Shotmaniacs,Voice,Topicus,Honours Programme,eMagiz,MON,Male
6,B-TCS,Dutch,actFact,Shotmaniacs,Honours Programme,Voice,Topicus,SPE,Male
149,B-TCS,Dutch,Voice,Shotmaniacs,Inter-actief,Earnit,actFact,MON,Male
75,B-BIT,Romanian,Earnit,eMagiz,Topicus,actFact,Entweder,SHA,Male
264,B-BIT,Dutch,Voice,Notebridge,Honours Programme,Shotmaniacs,actFact,TEA,Male
300,B-TCS,Dutch,Shotmaniacs,Voice,Entweder,Rosen,actFact,IMP,Male
87,X-TCS,Chinese,Shotmaniacs,Topicus,eMagiz,Voice,Notebridge,TEA,Male
273,B-BIT,Chinese,Earnit,Voice,Notebridge,Topicus,eMagiz,PLA,Male
115,B-BIT,Romanian,Honours Programme,eMagiz,Topicus,Voice,actFact,RES,Female
295,B-TCS,Dutch,Topicus,Shotmaniacs,Earnit,Voice,Rosen,PLA,Male
13,B-TCS,Romanian,Voice,actFact,Honours Programme,Earnit,Inter-actief,SHA,Male
48,B-TCS,Dutch,Earnit,Shotmaniacs,Voice,actFact,Entweder,SHA,Male
32,B-BIT,Romanian,actFact,Topicus,Voice,Earnit,Entweder,COO,Male
331,B-TCS,Dutch,Topicus,Honours Programme,Earnit,Inter-actief,Shotmaniacs,SPE,Male
173,B-TCS,Lithuanian,Rosen,actFact,Topicus,Honours Programme,Entweder,COO,Male
70,B-TCS,Vietnamese,Earnit,eMagiz,Topicus,actFact,Entweder,PLA,Male
126,B-TCS,Dutch,Shotmaniacs,Earnit,Honours Programme,Topicus,Rosen,IMP,Male
289,B-TCS,Spanish,Shotmaniacs,Earnit,Topicus,Notebridge,Inter-actief,SPE,Male
400,B-TCS,Romanian,Shotmaniacs,Voice,Topicus,Earnit,eMagiz,IMP,Male
54,B-TCS,Egyptian,Earnit,Honours Programme,Entweder,Inter-actief,Rosen,COM,Male
364,B-TCS,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,Inter-actief,SPE,Male
301,B-BIT,Surinamese,Shotmaniacs,Voice,Entweder,Rosen,actFact,IMP,Male
170,B-TCS,Latvian,Earnit,Topicus,Honours Programme,Entweder,Voice,IMP,Male
28,B-TCS,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,actFact,COO,Male
398,B-BIT,Greek,Shotmaniacs,Voice,Topicus,Honours Programme,eMagiz,TEA,Female
241,B-TCS,Romanian,Notebridge,Earnit,Shotmaniacs,Entweder,Honours Programme,SHA,Male
276,B-BIT,Spanish,Shotmaniacs,Notebridge,Voice,Rosen,Inter-actief,PLA,Male
1,B-TCS,Dutch,actFact,Shotmaniacs,Honours Programme,Voice,Topicus,PLA,Male
365,B-BIT,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,Inter-actief,MON,Male
132,B-TCS,Romanian,Honours Programme,Topicus,Earnit,Rosen,Notebridge,IMP,Male
337,B-TCS,Philippine,Topicus,Honours Programme,Shotmaniacs,Voice,Earnit,TEA,Male
332,B-TCS,Romanian,Topicus,Honours Programme,Earnit,Inter-actief,Shotmaniacs,SPE,Male
129,B-BIT,Italian,Shotmaniacs,Earnit,Honours Programme,Topicus,Rosen,MON,Male
49,B-BIT,Dutch,Earnit,Shotmaniacs,Voice,actFact,Entweder,IMP,Male
81,B-TCS,Chinese,Earnit,Topicus,Voice,eMagiz,actFact,RES,Female
250,B-BIT,Indonesian,Notebridge,Voice,Topicus,Earnit,Shotmaniacs,COM,Male
316,B-TCS,British,Shotmaniacs,Honours Programme,Topicus,Voice,Inter-actief,MON,Male
382,B-TCS,Romanian,Voice,Shotmaniacs,Honours Programme,Earnit,Notebridge,RES,Male
320,B-BIT,Romanian,Shotmaniacs,Honours Programme,Topicus,Voice,Inter-actief,SHA,Male
12,B-TCS,Dutch,actFact,Voice,Shotmaniacs,Topicus,Honours Programme,COM,Male
401,B-BIT,Indian,Shotmaniacs,Voice,Topicus,Earnit,eMagiz,PLA,Male
362,B-TCS,Egyptian,Voice,Topicus,Earnit,Notebridge,Honours Programme,COO,Male
30,B-TCS,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,actFact,COO,Male
303,B-TCS,French,Shotmaniacs,Voice,Entweder,Rosen,actFact,PLA,Male
5,B-TCS,Dutch,actFact,Shotmaniacs,Honours Programme,Voice,Topicus,SHA,Male
155,B-BIT,Hungarian,Voice,Inter-actief,Earnit,Honours Programme,Topicus,IMP,Male
36,B-TCS,Romanian,actFact,Topicus,Voice,Earnit,Entweder,TEA,Male
340,B-TCS,Romanian,Shotmaniacs,Topicus,Earnit,Honours Programme,Inter-actief,SHA,Female
269,B-TCS,Lithuanian,Earnit,Voice,Notebridge,Topicus,eMagiz,IMP,Female
291,B-TCS,Kazakh,Topicus,Shotmaniacs,Earnit,Voice,Rosen,SHA,Male
335,B-TCS,Romanian,Topicus,Honours Programme,Shotmaniacs,Voice,Earnit,COO,Male
172,B-TCS,Russian,Earnit,Topicus,Honours Programme,Entweder,Voice,PLA,Male
83,B-BIT,Hungarian,Shotmaniacs,Notebridge,Earnit,Voice,Inter-actief,TEA,Male
169,B-TCS,Romanian,Earnit,Topicus,Honours Programme,Entweder,Voice,SPE,Male
162,B-BIT,Kazakh,Inter-actief,Voice,Earnit,Honours Programme,Topicus,SHA,Male
395,B-TCS,Vietnamese,Shotmaniacs,Voice,Topicus,Honours Programme,eMagiz,SHA,Male
350,B-TCS,Egyptian,Topicus,Earnit,Honours Programme,Notebridge,actFact,IMP,Male
92,B-TCS,Russian,Voice,eMagiz,Notebridge,Entweder,Earnit,IMP,Male
355,B-TCS,Dutch,Topicus,Inter-actief,Entweder,Notebridge,Voice,MON,Male
86,B-TCS,Uzbek,Shotmaniacs,Topicus,eMagiz,Voice,Notebridge,MON,Male
57,B-TCS,Lithuanian,Earnit,Honours Programme,Entweder,Inter-actief,Rosen,SHA,Male
315,B-BIT,Bulgarian,Shotmaniacs,Honours Programme,Inter-actief,Earnit,eMagiz,TEA,Male
263,B-BIT,Dutch,Voice,Notebridge,Honours Programme,Shotmaniacs,actFact,IMP,Male
53,B-TCS,Hungarian,Earnit,Honours Programme,Entweder,Inter-actief,Rosen,PLA,Male
156,X-TCS,Romanian,eMagiz,Inter-actief,Shotmaniacs,Entweder,actFact,PLA,Male
342,B-BIT,Dutch,Shotmaniacs,Topicus,Earnit,Honours Programme,Inter-actief,IMP,Male
259,B-TCS,Greek,Shotmaniacs,Notebridge,Earnit,Voice,Inter-actief,COM,Male
25,B-BIT,Romanian,Voice,Shotmaniacs,Honours Programme,Topicus,actFact,COO,Female
348,B-BIT,Egyptian,Topicus,Earnit,Honours Programme,Notebridge,actFact,PLA,Male
343,B-BIT,Hungarian,Shotmaniacs,Topicus,Earnit,Honours Programme,Inter-actief,COO,Male
111,B-TCS,Dutch,Honours Programme,Earnit,Voice,Notebridge,Shotmaniacs,COO,Male
52,B-BIT,Lithuanian,Earnit,Honours Programme,Entweder,Inter-actief,Rosen,RES,Female
319,B-TCS,Romanian,Shotmaniacs,Honours Programme,Topicus,Voice,Inter-actief,IMP,Male
377,B-BIT,Spanish,Voice,Notebridge,Earnit,Shotmaniacs,Topicus,COM,Female
66,B-TCS,Dutch,Earnit,Notebridge,Topicus,Voice,Shotmaniacs,IMP,Male
125,B-BIT,Dutch,Shotmaniacs,Honours Programme,Earnit,Inter-actief,Topicus,COO,Female
352,B-BIT,Dutch,Topicus,Inter-actief,Entweder,Notebridge,Voice,MON,Male
